"Story","Title","Result","Date","Stability","Duration (s)"
"Dashboard in applitools","Successful  View Account Information in sto Dashboard","SUCCESS","2023-06-06T01:37:07.9533298-05:00[America/Bogota]","0.0","0.0"
"Dashboard in applitools","Successful  View Account Information","SUCCESS","2023-06-06T03:10:12.113787-05:00[America/Bogota]","0.0","0.0"
"Dashboard in applitools","Successful  View Account Information in to Dashboard","SUCCESS","2023-06-06T12:08:01.2943766-05:00[America/Bogota]","0.0","5.7"
