"Story","Title","Result","Date","Stability","Duration (s)"
"users path","Search succesful user whit name and job  and search user whit id","FAILURE","2023-06-06T13:50:59.995688-05:00[America/Bogota]","0.0","0.96"
"Authentication","Authentication Unsuccessful Bad Credentials","ERROR","2023-06-06T12:20:23.0394894-05:00[America/Bogota]","0.0","5.54"
